Nyidam Sari               ; Lala Atila ft Ageng Music       ; Ageng Music Official
Rondo Kempling            ; Lala Widy ft Pandawa Ageng Music; Global Musik Era Digital
Sotya                     ; Lala Atila ft Ageng Music       ; Global Musik Era Digital
Lali Janjine              ; Deni Kristiani                  ; Langgeng Music Digital
Yen Ing Tawang Ono Lintang; Ina Alah Alah                   ; Langgeng Music Digital
Sotya                     ; KURNIA RAHMA                    ; Mahesa Official
Ireng Manis               ; Intan Chacha                    ; Langgeng Music Digital
Lali Janjine              ; Rinvi Ananda                    ; Langgeng Music Digital
